t_usec,height
0,0.02
4000,0.02
4000,0.02
4000,0.02
8000,0.02
8000,0.02
8000,0.02
12000,0.02
12000,0.02
12000,0.02
16000,0.02
16000,0.02
16000,0.02
20000,0.02
20000,0.02
20000,0.02
24000,0.02
24000,0.02
24000,0.02
28000,0.02
28000,0.02
28000,0.02
32000,0.02
32000,0.02
32000,0.02
36000,0.02
36000,0.02
36000,0.02
40000,0.02
40000,0.02
40000,0.02
44000,0.02
44000,0.02
44000,0.02
48000,0.02
48000,0.02
48000,0.02
52000,0.02
52000,0.02
52000,0.02
56000,0.02
56000,0.02
56000,0.02
60000,0.02
60000,0.02
60000,0.02
64000,0.02
64000,0.02
64000,0.02
68000,0.02
68000,0.02
68000,0.02
72000,0.02
72000,0.02
72000,0.02
76000,0.02
76000,0.02
76000,0.02
80000,0.02
80000,0.02
80000,0.02
84000,0.02
84000,0.02
84000,0.02
88000,0.02
88000,0.02
88000,0.02
92000,0.02
92000,0.02
92000,0.02
96000,0.02
96000,0.02
96000,0.02
100000,0.02
100000,0.02
100000,0.02
104000,0.02
104000,0.02
104000,0.02
108000,0.02
108000,0.02
108000,0.02
112000,0.02
112000,0.02
112000,0.02
116000,0.02
116000,0.02
116000,0.02
120000,0.02
120000,0.02
120000,0.02
124000,0.02
124000,0.02
124000,0.02
128000,0.02
128000,0.02
128000,0.02
132000,0.02
132000,0.02
132000,0.02
136000,0.02
136000,0.02
136000,0.02
140000,0.02
140000,0.02
140000,0.02
144000,0.02
144000,0.02
144000,0.02
148000,0.02
148000,0.02
148000,0.02
152000,0.02
152000,0.02
152000,0.02
156000,0.02
156000,0.02
156000,0.02
160000,0.02
160000,0.02
160000,0.02
164000,0.02
164000,0.02
164000,0.02
168000,0.02
168000,0.02
168000,0.02
172000,0.02
172000,0.02
172000,0.02
176000,0.02
176000,0.02
176000,0.02
180000,0.02
180000,0.02
180000,0.02
184000,0.02
184000,0.02
184000,0.02
188000,0.02
188000,0.02
188000,0.02
192000,0.02
192000,0.02
192000,0.02
196000,0.02
196000,0.02
196000,0.02
200000,0.02
200000,0.02
200000,0.02
204000,0.02
204000,0.02
204000,0.02
208000,0.02
208000,0.02
208000,0.02
212000,0.02
212000,0.02
212000,0.02
216000,0.02
216000,0.02
216000,0.02
220000,0.02
220000,0.02
220000,0.02
224000,0.02
224000,0.02
224000,0.02
228000,0.02
228000,0.02
228000,0.02
232000,0.02
232000,0.02
232000,0.02
236000,0.02
236000,0.02
236000,0.02
240000,0.02
240000,0.02
240000,0.02
244000,0.02
244000,0.02
244000,0.02
248000,0.02
248000,0.02
248000,0.02
252000,0.02
252000,0.02
252000,0.02
256000,0.02
256000,0.02
256000,0.02
260000,0.02
260000,0.02
260000,0.02
264000,0.02
264000,0.02
264000,0.02
268000,0.02
268000,0.02
268000,0.02
272000,0.02
272000,0.02
272000,0.02
276000,0.02
276000,0.02
276000,0.02
280000,0.02
280000,0.02
280000,0.02
284000,0.02
284000,0.02
284000,0.02
288000,0.02
288000,0.02
288000,0.02
292000,0.02
292000,0.02
292000,0.02
296000,0.02
296000,0.02
296000,0.02
300000,0.02
300000,0.02
300000,0.02
304000,0.02
304000,0.02
304000,0.02
308000,0.02
308000,0.02
308000,0.02
312000,0.02
312000,0.02
312000,0.02
316000,0.02
316000,0.02
316000,0.02
320000,0.02
320000,0.02
320000,0.02
324000,0.02
324000,0.02
324000,0.02
328000,0.02
328000,0.02
328000,0.02
332000,0.02
332000,0.02
332000,0.02
336000,0.02
336000,0.02
336000,0.02
340000,0.02
340000,0.02
340000,0.02
344000,0.02
344000,0.02
344000,0.02
348000,0.02
348000,0.02
348000,0.02
352000,0.02
352000,0.02
352000,0.02
356000,0.02
356000,0.02
356000,0.02
360000,0.02
360000,0.02
360000,0.02
364000,0.02
364000,0.02
364000,0.02
368000,0.02
368000,0.02
368000,0.02
372000,0.02
372000,0.02
372000,0.02
376000,0.02
376000,0.02
376000,0.02
380000,0.02
380000,0.02
380000,0.02
384000,0.02
384000,0.02
384000,0.02
388000,0.02
388000,0.02
388000,0.02
392000,0.02
392000,0.02
392000,0.02
396000,0.02
396000,0.02
396000,0.02
400000,0.02
400000,0.02
400000,0.02
404000,0.02
404000,0.02
404000,0.02
408000,0.02
408000,0.02
408000,0.02
412000,0.02
412000,0.02
412000,0.02
416000,0.02
416000,0.02
416000,0.02
420000,0.02
420000,0.02
420000,0.02
424000,0.02
424000,0.02
424000,0.02
428000,0.02
428000,0.02
428000,0.02
432000,0.02
432000,0.02
432000,0.02
436000,0.02
436000,0.02
436000,0.02
440000,0.02
440000,0.02
440000,0.02
444000,0.02
444000,0.02
444000,0.02
448000,0.02
448000,0.02
448000,0.02
452000,0.02
452000,0.02
452000,0.02
456000,0.02
456000,0.02
456000,0.02
460000,0.02
460000,0.02
460000,0.02
464000,0.02
464000,0.02
464000,0.02
468000,0.02
468000,0.02
468000,0.02
472000,0.02
472000,0.02
472000,0.02
476000,0.02
476000,0.02
476000,0.02
480000,0.02
480000,0.02
480000,0.02
484000,0.02
484000,0.02
484000,0.02
488000,0.020000006810858492
488000,0.020000006810858492
488000,0.020000006810858492
492000,0.020000129942594574
492000,0.020000129942594574
492000,0.020000129942594574
496000,0.020000405384692409
496000,0.020000405384692409
496000,0.020000405384692409
500000,0.02000083166149089
500000,0.02000083166149089
500000,0.02000083166149089
504000,0.020001407304345784
504000,0.020001407304345784
504000,0.020001407304345784
508000,0.020002130851717276
508000,0.020002130851717276
508000,0.020002130851717276
512000,0.020003000849253945
512000,0.020003000849253945
512000,0.020003000849253945
516000,0.020004015849873231
516000,0.020004015849873231
516000,0.020004015849873231
520000,0.02000517441383845
520000,0.02000517441383845
520000,0.02000517441383845
524000,0.02000647510883247
524000,0.02000647510883247
524000,0.02000647510883247
528000,0.020007916510028066
528000,0.020007916510028066
528000,0.020007916510028066
532000,0.020009497200155081
532000,0.020009497200155081
532000,0.020009497200155081
536000,0.020011215769564439
536000,0.020011215769564439
536000,0.020011215769564439
540000,0.020013070816289044
540000,0.020013070816289044
540000,0.020013070816289044
544000,0.020015060946101733
544000,0.020015060946101733
544000,0.020015060946101733
548000,0.020017184772570196
548000,0.020017184772570196
548000,0.020017184772570196
552000,0.020019440917109107
552000,0.020019440917109107
552000,0.020019440917109107
556000,0.020021828009029373
556000,0.020021828009029373
556000,0.020021828009029373
560000,0.020024344685584672
560000,0.020024344685584672
560000,0.020024344685584672
564000,0.020026989592015286
564000,0.020026989592015286
564000,0.020026989592015286
568000,0.020029761381589309
568000,0.020029761381589309
568000,0.020029761381589309
572000,0.020032658715641295
572000,0.020032658715641295
572000,0.020032658715641295
576000,0.020035680263608385
576000,0.020035680263608385
576000,0.020035680263608385
580000,0.02003882470306401
580000,0.02003882470306401
580000,0.02003882470306401
584000,0.020042090719749186
584000,0.020042090719749186
584000,0.020042090719749186
588000,0.020045477007601474
588000,0.020045477007601474
588000,0.020045477007601474
592000,0.02004898226878166
592000,0.02004898226878166
592000,0.02004898226878166
596000,0.02005260521369823
596000,0.02005260521369823
596000,0.02005260521369823
600000,0.020056344561029643
600000,0.020056344561029643
600000,0.020056344561029643
604000,0.02006019903774452
604000,0.02006019903774452
604000,0.02006019903774452
608000,0.020064167379119723
608000,0.020064167379119723
608000,0.020064167379119723
612000,0.020068248328756467
612000,0.020068248328756467
612000,0.020068248328756467
616000,0.020072440638594424
616000,0.020072440638594424
616000,0.020072440638594424
620000,0.020076743068923934
620000,0.020076743068923934
620000,0.020076743068923934
624000,0.02008115438839634
624000,0.02008115438839634
624000,0.02008115438839634
628000,0.020085673374032484
628000,0.020085673374032484
628000,0.020085673374032484
632000,0.020090298811229465
632000,0.020090298811229465
632000,0.020090298811229465
636000,0.020095029493765626
636000,0.020095029493765626
636000,0.020095029493765626
640000,0.020099864223803866
640000,0.020099864223803866
640000,0.020099864223803866
644000,0.020104801811893329
644000,0.020104801811893329
644000,0.020104801811893329
648000,0.020109841076969479
648000,0.020109841076969479
648000,0.020109841076969479
652000,0.020114980846352597
652000,0.020114980846352597
652000,0.020114980846352597
656000,0.020120219955744801
656000,0.020120219955744801
656000,0.020120219955744801
660000,0.020125557249225559
660000,0.020125557249225559
660000,0.020125557249225559
664000,0.020130991579245791
664000,0.020130991579245791
664000,0.020130991579245791
668000,0.020136521806620546
668000,0.020136521806620546
668000,0.020136521806620546
672000,0.020142146800520334
672000,0.020142146800520334
672000,0.020142146800520334
676000,0.020147865438461157
676000,0.020147865438461157
676000,0.020147865438461157
680000,0.020153676606293212
680000,0.020153676606293212
680000,0.020153676606293212
684000,0.020159579198188383
684000,0.020159579198188383
684000,0.020159579198188383
688000,0.020165572116626507
688000,0.020165572116626507
688000,0.020165572116626507
692000,0.020171654272380463
692000,0.020171654272380463
692000,0.020171654272380463
696000,0.020177824584500105
696000,0.020177824584500105
696000,0.020177824584500105
700000,0.020184081980295102
700000,0.020184081980295102
700000,0.020184081980295102
704000,0.020190425395316708
704000,0.020190425395316708
704000,0.020190425395316708
708000,0.020196853773338432
708000,0.020196853773338432
708000,0.020196853773338432
712000,0.020203366066335784
712000,0.020203366066335784
712000,0.020203366066335784
716000,0.020209961234464942
716000,0.020209961234464942
716000,0.020209961234464942
720000,0.020216638246040534
720000,0.020216638246040534
720000,0.020216638246040534
724000,0.020223396077512463
724000,0.020223396077512463
724000,0.020223396077512463
728000,0.020230233713441848
728000,0.020230233713441848
728000,0.020230233713441848
732000,0.020237150146476101
732000,0.020237150146476101
732000,0.020237150146476101
736000,0.020244144377323151
736000,0.020244144377323151
736000,0.020244144377323151
740000,0.020251215414724872
740000,0.020251215414724872
740000,0.020251215414724872
744000,0.020258362275429719
744000,0.020258362275429719
744000,0.020258362275429719
748000,0.020265583984164615
748000,0.020265583984164615
748000,0.020265583984164615
752000,0.020272879573606087
752000,0.020272879573606087
752000,0.020272879573606087
756000,0.020280248084350701
756000,0.020280248084350701
756000,0.020280248084350701
760000,0.020287688564884832
760000,0.020287688564884832
760000,0.020287688564884832
764000,0.020295200071553755
764000,0.020295200071553755
764000,0.020295200071553755
768000,0.020302781668530091
768000,0.020302781668530091
768000,0.020302781668530091
772000,0.020310432427781678
772000,0.020310432427781678
772000,0.020310432427781678
776000,0.020318151429038804
776000,0.020318151429038804
776000,0.020318151429038804
780000,0.020325937759760913
780000,0.020325937759760913
780000,0.020325937759760913
784000,0.020333790515102739
784000,0.020333790515102739
784000,0.020333790515102739
788000,0.020341708797879936
788000,0.020341708797879936
788000,0.020341708797879936
792000,0.020349691718534173
792000,0.020349691718534173
792000,0.020349691718534173
796000,0.020357738395097767
796000,0.020357738395097767
796000,0.020357738395097767
800000,0.020365847953157854
800000,0.020365847953157854
800000,0.020365847953157854
804000,0.02037401952582011
804000,0.02037401952582011
804000,0.02037401952582011
808000,0.020382252253672017
808000,0.020382252253672017
808000,0.020382252253672017
812000,0.020390545284745779
812000,0.020390545284745779
812000,0.020390545284745779
816000,0.020398897774480798
816000,0.020398897774480798
816000,0.020398897774480798
820000,0.020407308885685788
820000,0.020407308885685788
820000,0.020407308885685788
824000,0.02041577778850057
824000,0.02041577778850057
824000,0.02041577778850057
828000,0.020424303660357468
828000,0.020424303660357468
828000,0.020424303660357468
832000,0.020432885685942426
832000,0.020432885685942426
832000,0.020432885685942426
836000,0.020441523057155832
836000,0.020441523057155832
836000,0.020441523057155832
840000,0.020450214973072992
840000,0.020450214973072992
840000,0.020450214973072992
844000,0.020458960639904395
844000,0.020458960639904395
844000,0.020458960639904395
848000,0.020467759270955684
848000,0.020467759270955684
848000,0.020467759270955684
852000,0.020476610086587382
852000,0.020476610086587382
852000,0.020476610086587382
856000,0.020485512314174406
856000,0.020485512314174406
856000,0.020485512314174406
860000,0.020494465188065344
860000,0.020494465188065344
860000,0.020494465188065344
864000,0.020503467949541554
864000,0.020503467949541554
864000,0.020503467949541554
868000,0.020512519846776045
868000,0.020512519846776045
868000,0.020512519846776045
872000,0.020521620134792196
872000,0.020521620134792196
872000,0.020521620134792196
876000,0.020530768075422322
876000,0.020530768075422322
876000,0.020530768075422322
880000,0.020539962937266076
880000,0.020539962937266076
880000,0.020539962937266076
884000,0.020549203995648704
884000,0.020549203995648704
884000,0.020549203995648704
888000,0.020558490532579191
888000,0.020558490532579191
888000,0.020558490532579191
892000,0.020567821836708283
892000,0.020567821836708283
892000,0.020567821836708283
896000,0.02057719720328641
896000,0.02057719720328641
896000,0.02057719720328641
900000,0.020586615934121488
900000,0.020586615934121488
900000,0.020586615934121488
904000,0.020596077337536687
904000,0.020596077337536687
904000,0.020596077337536687
908000,0.020605580728328084
908000,0.020605580728328084
908000,0.020605580728328084
912000,0.020615125427722272
912000,0.020615125427722272
912000,0.020615125427722272
916000,0.020624710763333907
916000,0.020624710763333907
916000,0.020624710763333907
920000,0.020634336069123224
920000,0.020634336069123224
920000,0.020634336069123224
924000,0.020644000685353527
924000,0.020644000685353527
924000,0.020644000685353527
928000,0.020653703958548604
928000,0.020653703958548604
928000,0.020653703958548604
932000,0.020663445241450192
932000,0.020663445241450192
932000,0.020663445241450192
936000,0.020673223892975403
936000,0.020673223892975403
936000,0.020673223892975403
940000,0.020683039278174137
940000,0.020683039278174137
940000,0.020683039278174137
944000,0.020692890768186541
944000,0.020692890768186541
944000,0.020692890768186541
948000,0.020702777740200448
948000,0.020702777740200448
948000,0.020702777740200448
952000,0.020712699577408868
952000,0.020712699577408868
952000,0.020712699577408868
956000,0.020722655668967496
956000,0.020722655668967496
956000,0.020722655668967496
960000,0.020732645409952264
960000,0.020732645409952264
960000,0.020732645409952264
964000,0.020742668201316952
964000,0.020742668201316952
964000,0.020742668201316952
968000,0.020752723449850831
968000,0.020752723449850831
968000,0.020752723449850831
972000,0.020762810568136371
972000,0.020762810568136371
972000,0.020762810568136371
976000,0.020772928974507037
976000,0.020772928974507037
976000,0.020772928974507037
980000,0.020783078093005135
980000,0.020783078093005135
980000,0.020783078093005135
984000,0.020793257353339742
984000,0.020793257353339742
984000,0.020793257353339742
988000,0.020803466190844732
988000,0.020803466190844732
988000,0.020803466190844732
992000,0.020813704046436871
992000,0.020813704046436871
992000,0.020813704046436871
996000,0.020823970366574043
