t_usec,pod_position,pod_velocity,pod_acceleration,he_height,F_aero_x,F_aero_y,F_aero_z,F_brakes_x,F_brakes_y,F_brakes_z,F_gimbals_x,F_gimbals_y,F_gimbals_z,F_hover_engines_x,F_hover_engines_y,F_hover_engines_z,F_lateral_stability_x,F_lateral_stability_y,F_lateral_stability_z,F_landing_gear_x,F_landing_gear_y,F_landing_gear_z
0,1.1428571428571429e-05,0.022857142857142857,22.857142857142858,0.006,-0.0,0,0,0.0,0,0,0.0,0.0,0.0,-0.0,0,0.0,-0.0,0,0,0.0,0.0,0.0
1000,4.5697206889725342e-05,0.045680128065164971,22.822985208022111,0.006,-3.5320418488946934e-05,0,0,-0.56867018063914654,0,0,0.0,0.0,0.0,-11.386243119775401,0,10.31001180983292,-0.00022857142857142857,0,0,0.0,0.0,0.0
2000,0.00010277184849512692,0.068469155145638172,22.789027080473208,0.006,-0.00014107062190338296,0,0,-1.1323030542402297,0,0,0.0,0.0,0.0,-22.707620908235544,0,20.604530308970681,-0.00045680128065164971,0,0,0.0,0.0,0.0
3000,0.00018261863708382456,0.091224422031757096,22.755266886118928,0.006,-0.00031693623424174246,0,0,-1.6909520311447723,0,0,0.0,0.0,0.0,-33.964636199444534,0,30.883560165751117,-0.00068469155145638172,0,0,0.0,0.0,0.0
4000,0.00028520391064228579,0.11394612508516538,22.72170305340828,0.006,-0.00056260578867007628,0,0,-2.2446698339918387,0,0,0.0,0.0,0.0,-45.157786623101153,0,41.147106099253826,-0.00091224422031757103,0,0,0.0,0.0,0.0
5000,0.00041049420274114783,0.13663445911255878,22.688334027393395,0.006,-0.00087777069424789229,0,0,-2.7935085082534479,0,0,0.0,0.0,0.0,-56.287564672112374,0,51.39517288084172,-0.0011394612508516539,0,0,0.0,0.0,0.0
6000,0.00055845624098846164,0.15928961738206882,22.655158269510018,0.006,-0.001262125203120891,0,0,-3.3375194325822495,0,0,0.0,0.0,0.0,-67.35445776911601,0,61.627765335665877,-0.0013663445911255877,0,0,0.0,0.0,0.0
7000,0.00072905694549921121,0.18191179163943028,22.622174257361451,0.006,-0.0017153663781728301,0,0,-3.8767533289751142,0,0,0.0,0.0,0.0,-78.358948331965394,0,71.844888344134077,-0.0015928961738206882,0,0,0.0,0.0,0.0
8000,0.00092226342738089444,0.20450117212393618,22.589380484505906,0.006,-0.0022371940611288959,0,0,-4.4112602727565484,0,0,0.0,0.0,0.0,-89.301513838199639,0,82.046546843343464,-0.0018191179163943028,0,0,0.0,0.0,0.0
9000,0.0011380429872349543,0.22705794758418343,22.556775460247248,0.006,-0.0028273108411031134,0,0,-4.9410897023854119,0,0,0.0,0.0,0.0,-100.18262688851607,0,92.232745828478116,-0.0020450117212393619,0,0,0.0,0.0,0.0
