t,x,y,z
0,0,0,512
10000,0,1177,512
20000,0,1160,512
30000,0,1145,512
40000,0,1130,512
50000,0,1116,512
60000,0,1103,512
70000,0,1090,512
80000,0,1078,512
90000,0,1067,512
100000,0,1056,512
110000,0,1046,512
120000,0,1036,512
130000,0,1027,512
140000,0,1018,512
150000,0,1009,512
160000,0,1001,512
170000,0,994,512
180000,0,986,512
190000,0,979,512
200000,0,972,512
210000,0,966,512
220000,0,960,512
230000,0,954,512
240000,0,948,512
250000,0,943,512
260000,0,937,512
270000,0,932,512
280000,0,927,512
290000,0,923,512
300000,0,918,512
310000,0,914,512
320000,0,910,512
330000,0,906,512
340000,0,902,512
350000,0,899,512
360000,0,895,512
370000,0,892,512
380000,0,889,512
390000,0,886,512
400000,0,883,512
410000,0,880,512
420000,0,877,512
430000,0,875,512
440000,0,872,512
450000,0,870,512
460000,0,867,512
470000,0,865,512
480000,0,863,512
490000,0,861,512
500000,0,859,512
510000,0,857,512
520000,0,855,512
530000,0,854,512
540000,0,852,512
550000,0,851,512
560000,0,849,512
570000,0,848,512
580000,0,847,512
590000,0,846,512
600000,0,845,512
610000,0,844,512
620000,0,843,512
630000,0,842,512
640000,0,842,512
650000,0,841,512
660000,0,840,512
670000,0,840,512
680000,0,839,512
690000,0,839,512
700000,0,839,512
710000,0,839,512
720000,0,838,512
730000,0,838,512
740000,0,838,512
750000,0,838,512
760000,0,838,512
770000,0,838,512
780000,0,838,512
790000,0,838,512
800000,0,839,512
810000,0,839,512
820000,0,839,512
830000,0,839,512
840000,0,840,512
850000,0,840,512
860000,0,841,512
870000,0,841,512
880000,0,842,512
890000,0,842,512
900000,0,843,512
910000,0,843,512
920000,0,844,512
930000,0,845,512
940000,0,845,512
950000,0,846,512
960000,0,847,512
970000,0,847,512
980000,0,848,512
990000,0,849,512
1000000,0,850,512
1010000,0,851,512
1020000,0,851,512
1030000,0,852,512
1040000,0,853,512
1050000,0,854,512
1060000,0,855,512
1070000,0,856,512
1080000,0,857,512
1090000,0,858,512
1100000,0,859,512
1110000,0,860,512
1120000,0,861,512
1130000,0,862,512
1140000,0,863,512
1150000,0,864,512
1160000,0,865,512
1170000,0,866,512
1180000,0,867,512
1190000,0,868,512
1200000,0,869,512
1210000,0,870,512
1220000,0,872,512
1230000,0,873,512
1240000,0,874,512
1250000,0,875,512
1260000,0,876,512
1270000,0,877,512
1280000,0,878,512
1290000,0,879,512
1300000,0,881,512
1310000,0,882,512
1320000,0,883,512
1330000,0,884,512
1340000,0,885,512
1350000,0,886,512
1360000,0,887,512
1370000,0,889,512
1380000,0,890,512
1390000,0,891,512
1400000,0,892,512
1410000,0,893,512
1420000,0,894,512
1430000,0,896,512
1440000,0,897,512
1450000,0,898,512
1460000,0,899,512
1470000,0,900,512
1480000,0,901,512
1490000,0,902,512
1500000,0,904,512
1510000,0,905,512
1520000,0,906,512
1530000,0,907,512
1540000,0,908,512
1550000,0,909,512
1560000,0,910,512
1570000,0,912,512
1580000,0,913,512
1590000,0,914,512
1600000,0,915,512
1610000,0,916,512
1620000,0,917,512
1630000,0,918,512
1640000,0,919,512
1650000,0,921,512
1660000,0,922,512
1670000,0,923,512
1680000,0,924,512
1690000,0,925,512
1700000,0,926,512
1710000,0,927,512
1720000,0,928,512
1730000,0,929,512
1740000,0,930,512
1750000,0,931,512
1760000,0,932,512
1770000,0,933,512
1780000,0,934,512
1790000,0,935,512
1800000,0,936,512
1810000,0,937,512
1820000,0,938,512
1830000,0,940,512
1840000,0,941,512
1850000,0,942,512
1860000,0,943,512
1870000,0,943,512
1880000,0,944,512
1890000,0,945,512
1900000,0,946,512
1910000,0,947,512
1920000,0,948,512
1930000,0,949,512
1940000,0,950,512
1950000,0,951,512
1960000,0,952,512
1970000,0,953,512
1980000,0,954,512
1990000,0,955,512
2000000,0,956,512
2010000,0,957,512
2020000,0,958,512
2030000,0,958,512
2040000,0,959,512
2050000,0,960,512
2060000,0,961,512
2070000,0,962,512
2080000,0,963,512
2090000,0,964,512
2100000,0,965,512
2110000,0,965,512
2120000,0,966,512
2130000,0,967,512
2140000,0,968,512
2150000,0,969,512
2160000,0,969,512
2170000,0,970,512
2180000,0,971,512
2190000,0,972,512
2200000,0,973,512
2210000,0,973,512
2220000,0,974,512
2230000,0,975,512
2240000,0,976,512
2250000,0,976,512
2260000,0,977,512
2270000,0,978,512
2280000,0,979,512
2290000,0,979,512
2300000,0,980,512
2310000,0,981,512
2320000,0,982,512
2330000,0,982,512
2340000,0,983,512
2350000,0,984,512
2360000,0,984,512
2370000,0,985,512
2380000,0,986,512
2390000,0,986,512
2400000,0,987,512
2410000,0,988,512
2420000,0,988,512
2430000,0,989,512
2440000,0,990,512
2450000,0,990,512
2460000,0,991,512
2470000,0,992,512
2480000,0,992,512
2490000,0,993,512
2500000,0,993,512
2510000,0,994,512
2520000,0,995,512
2530000,0,995,512
2540000,0,996,512
2550000,0,996,512
2560000,0,997,512
2570000,0,997,512
2580000,0,998,512
2590000,0,999,512
2600000,0,999,512
2610000,0,1000,512
2620000,0,1000,512
2630000,0,1001,512
2640000,0,1001,512
2650000,0,1002,512
2660000,0,1002,512
2670000,0,1003,512
2680000,0,1003,512
2690000,0,1004,512
2700000,0,1004,512
2710000,0,1005,512
2720000,0,1005,512
2730000,0,1006,512
2740000,0,1006,512
2750000,0,1007,512
2760000,0,1007,512
2770000,0,1008,512
2780000,0,1008,512
2790000,0,1009,512
2800000,0,1009,512
2810000,0,1009,512
2820000,0,1010,512
2830000,0,1010,512
2840000,0,1011,512
2850000,0,1011,512
2860000,0,1012,512
2870000,0,1012,512
2880000,0,1012,512
2890000,0,1013,512
2900000,0,1013,512
2910000,0,1014,512
2920000,0,1014,512
2930000,0,1014,512
2940000,0,1015,512
2950000,0,1015,512
2960000,0,1016,512
2970000,0,1016,512
2980000,0,1016,512
2990000,0,1017,512
3000000,0,1017,512
3010000,0,1017,512
3020000,0,1018,512
3030000,0,1018,512
3040000,0,1018,512
3050000,0,1019,512
3060000,0,1019,512
3070000,0,1019,512
3080000,0,1020,512
3090000,0,1020,512
3100000,0,1020,512
3110000,0,1021,512
3120000,0,1021,512
3130000,0,1021,512
3140000,0,1021,512
3150000,0,1022,512
3160000,0,1022,512
3170000,0,1022,512
3180000,0,1023,512
3190000,0,1023,512
3200000,0,1023,512
3210000,0,1023,512
3220000,0,1024,512
3230000,0,1024,512
3240000,0,1024,512
3250000,0,1024,512
3260000,0,1025,512
3270000,0,1025,512
3280000,0,1025,512
3290000,0,1025,512
3300000,0,1026,512
3310000,0,1026,512
3320000,0,1026,512
3330000,0,1026,512
3340000,0,1027,512
3350000,0,1027,512
3360000,0,1027,512
3370000,0,1027,512
3380000,0,1027,512
3390000,0,1028,512
3400000,0,1028,512
3410000,0,1028,512
3420000,0,1028,512
3430000,0,1028,512
3440000,0,1028,512
3450000,0,1029,512
3460000,0,1029,512
3470000,0,1029,512
3480000,0,1029,512
3490000,0,1029,512
3500000,0,1029,512
3510000,0,1030,512
3520000,0,1030,512
3530000,0,1030,512
3540000,0,1030,512
3550000,0,1030,512
3560000,0,1030,512
3570000,0,1030,512
3580000,0,1031,512
3590000,0,1031,512
3600000,0,1031,512
3610000,0,1031,512
3620000,0,1031,512
3630000,0,1031,512
3640000,0,1031,512
3650000,0,1031,512
3660000,0,1032,512
3670000,0,1032,512
3680000,0,1032,512
3690000,0,1032,512
3700000,0,1032,512
3710000,0,1032,512
3720000,0,1032,512
3730000,0,1032,512
3740000,0,1032,512
3750000,0,1032,512
3760000,0,1032,512
3770000,0,1032,512
3780000,0,1033,512
3790000,0,1033,512
3800000,0,1033,512
3810000,0,1033,512
3820000,0,1033,512
3830000,0,1033,512
3840000,0,1033,512
3850000,0,1033,512
3860000,0,1033,512
3870000,0,1033,512
3880000,0,1033,512
3890000,0,1033,512
3900000,0,1033,512
3910000,0,1033,512
3920000,0,1033,512
3930000,0,1033,512
3940000,0,1033,512
3950000,0,1033,512
3960000,0,1033,512
3970000,0,1033,512
3980000,0,1033,512
3990000,0,1033,512
4000000,0,1033,512
4010000,0,1033,512
4020000,0,1033,512
4030000,0,1033,512
4040000,0,1033,512
4050000,0,1033,512
4060000,0,1033,512
4070000,0,1033,512
4080000,0,1033,512
4090000,0,1033,512
4100000,0,1033,512
4110000,0,1033,512
4120000,0,1033,512
4130000,0,1033,512
4140000,0,1033,512
4150000,0,1033,512
4160000,0,1033,512
4170000,0,1033,512
4180000,0,1033,512
4190000,0,1033,512
4200000,0,1033,512
4210000,0,1033,512
4220000,0,1033,512
4230000,0,1033,512
4240000,0,1033,512
4250000,0,1033,512
4260000,0,1033,512
4270000,0,1033,512
4280000,0,1033,512
4290000,0,1032,512
4300000,0,1032,512
4310000,0,1032,512
4320000,0,1032,512
4330000,0,1032,512
4340000,0,1032,512
4350000,0,1032,512
4360000,0,1032,512
4370000,0,1032,512
4380000,0,1032,512
4390000,0,1032,512
4400000,0,1032,512
4410000,0,1032,512
4420000,0,1031,512
4430000,0,1031,512
4440000,0,1031,512
4450000,0,1031,512
4460000,0,1031,512
4470000,0,1031,512
4480000,0,1031,512
4490000,0,1031,512
4500000,0,1031,512
4510000,0,1031,512
4520000,0,1030,512
4530000,0,1030,512
4540000,0,1030,512
4550000,0,1030,512
4560000,0,1030,512
4570000,0,1030,512
4580000,0,1030,512
4590000,0,1030,512
4600000,0,1029,512
4610000,0,1029,512
4620000,0,1029,512
4630000,0,1029,512
4640000,0,1029,512
4650000,0,1029,512
4660000,0,1029,512
4670000,0,1029,512
4680000,0,1028,512
4690000,0,1028,512
4700000,0,1028,512
4710000,0,1028,512
4720000,0,1028,512
4730000,0,1028,512
4740000,0,1027,512
4750000,0,1027,512
4760000,0,1027,512
4770000,0,1027,512
4780000,0,1027,512
4790000,0,1027,512
4800000,0,1026,512
4810000,0,1026,512
4820000,0,1026,512
4830000,0,1026,512
4840000,0,1026,512
4850000,0,1026,512
4860000,0,1025,512
4870000,0,1025,512
4880000,0,1025,512
4890000,0,1025,512
4900000,0,1025,512
4910000,0,1025,512
4920000,0,1024,512
4930000,0,1024,512
4940000,0,1024,512
4950000,0,1024,512
4960000,0,1024,512
4970000,0,1023,512
4980000,0,1023,512
4990000,0,1023,512
5000000,0,1023,512
5010000,0,1023,512
5020000,0,1022,512
5030000,0,1022,512
5040000,0,1022,512
5050000,0,1022,512
5060000,0,1022,512
5070000,0,1021,512
5080000,0,1021,512
5090000,0,1021,512
5100000,0,1021,512
5110000,0,1020,512
5120000,0,1020,512
5130000,0,1020,512
5140000,0,1020,512
5150000,0,1020,512
5160000,0,1019,512
5170000,0,1019,512
5180000,0,1019,512
5190000,0,1019,512
5200000,0,1018,512
5210000,0,1018,512
5220000,0,1018,512
5230000,0,1018,512
5240000,0,1017,512
5250000,0,1017,512
5260000,0,1017,512
5270000,0,1017,512
5280000,0,1017,512
5290000,0,1016,512
5300000,0,1016,512
5310000,0,1016,512
5320000,0,1016,512
5330000,0,1015,512
5340000,0,1015,512
5350000,0,1015,512
5360000,0,1015,512
5370000,0,1014,512
5380000,0,1014,512
5390000,0,1014,512
5400000,0,1013,512
5410000,0,1013,512
5420000,0,1013,512
5430000,0,1013,512
5440000,0,1012,512
5450000,0,1012,512
5460000,0,1012,512
5470000,0,1012,512
5480000,0,1011,512
5490000,0,1011,512
5500000,0,1011,512
5510000,0,1011,512
5520000,0,1010,512
5530000,0,1010,512
5540000,0,1010,512
5550000,0,1009,512
5560000,0,1009,512
5570000,0,1009,512
5580000,0,1009,512
5590000,0,1008,512
5600000,0,1008,512
5610000,0,1008,512
5620000,0,1007,512
5630000,0,1007,512
5640000,0,1007,512
5650000,0,1006,512
5660000,0,1006,512
5670000,0,1006,512
5680000,0,1006,512
5690000,0,1005,512
5700000,0,1005,512
5710000,0,1005,512
5720000,0,1004,512
5730000,0,1004,512
5740000,0,1004,512
5750000,0,1003,512
5760000,0,1003,512
5770000,0,1003,512
5780000,0,1003,512
5790000,0,1002,512
5800000,0,1002,512
5810000,0,1002,512
5820000,0,1001,512
5830000,0,1001,512
5840000,0,1001,512
5850000,0,1000,512
5860000,0,1000,512
5870000,0,1000,512
5880000,0,999,512
5890000,0,999,512
5900000,0,999,512
5910000,0,998,512
5920000,0,998,512
5930000,0,998,512
5940000,0,997,512
5950000,0,997,512
5960000,0,997,512
5970000,0,996,512
5980000,0,996,512
5990000,0,996,512
6000000,0,995,512
6010000,0,995,512
6020000,0,995,512
6030000,0,994,512
6040000,0,994,512
6050000,0,994,512
6060000,0,993,512
6070000,0,993,512
6080000,0,993,512
6090000,0,992,512
6100000,0,992,512
6110000,0,992,512
6120000,0,991,512
6130000,0,991,512
6140000,0,991,512
6150000,0,990,512
6160000,0,990,512
6170000,0,990,512
6180000,0,989,512
6190000,0,989,512
6200000,0,989,512
6210000,0,988,512
6220000,0,988,512
6230000,0,987,512
6240000,0,987,512
6250000,0,987,512
6260000,0,986,512
6270000,0,986,512
6280000,0,986,512
6290000,0,985,512
6300000,0,985,512
6310000,0,985,512
6320000,0,984,512
6330000,0,984,512
6340000,0,983,512
6350000,0,983,512
6360000,0,983,512
6370000,0,982,512
6380000,0,982,512
6390000,0,982,512
6400000,0,981,512
6410000,0,981,512
6420000,0,980,512
6430000,0,980,512
6440000,0,980,512
6450000,0,979,512
6460000,0,979,512
6470000,0,979,512
6480000,0,978,512
6490000,0,978,512
6500000,0,977,512
6510000,0,977,512
6520000,0,977,512
6530000,0,976,512
6540000,0,976,512
6550000,0,975,512
6560000,0,975,512
6570000,0,975,512
6580000,0,974,512
6590000,0,974,512
6600000,0,973,512
6610000,0,973,512
6620000,0,973,512
6630000,0,972,512
6640000,0,972,512
6650000,0,971,512
6660000,0,971,512
6670000,0,971,512
6680000,0,970,512
6690000,0,970,512
6700000,0,969,512
6710000,0,969,512
6720000,0,969,512
6730000,0,968,512
6740000,0,968,512
6750000,0,967,512
6760000,0,967,512
6770000,0,967,512
6780000,0,966,512
6790000,0,966,512
6800000,0,965,512
6810000,0,965,512
6820000,0,965,512
6830000,0,964,512
6840000,0,964,512
6850000,0,963,512
6860000,0,963,512
6870000,0,963,512
6880000,0,962,512
6890000,0,962,512
6900000,0,961,512
6910000,0,961,512
6920000,0,960,512
6930000,0,960,512
6940000,0,960,512
6950000,0,959,512
6960000,0,959,512
6970000,0,958,512
6980000,0,958,512
6990000,0,957,512
7000000,0,957,512
7010000,0,957,512
7020000,0,956,512
7030000,0,956,512
7040000,0,955,512
7050000,0,955,512
7060000,0,954,512
7070000,0,954,512
7080000,0,954,512
7090000,0,953,512
7100000,0,953,512
7110000,0,952,512
7120000,0,952,512
7130000,0,951,512
7140000,0,951,512
7150000,0,951,512
7160000,0,950,512
7170000,0,950,512
7180000,0,949,512
7190000,0,-243,512
7200000,0,-243,512
7210000,0,-243,512
7220000,0,-243,512
7230000,0,-242,512
7240000,0,-242,512
7250000,0,-242,512
7260000,0,-242,512
7270000,0,-242,512
7280000,0,-242,512
7290000,0,-242,512
7300000,0,-242,512
7310000,0,-242,512
7320000,0,-242,512
7330000,0,-242,512
7340000,0,-241,512
7350000,0,-241,512
7360000,0,-241,512
7370000,0,-241,512
7380000,0,-241,512
7390000,0,-241,512
7400000,0,-241,512
7410000,0,-241,512
7420000,0,-241,512
7430000,0,-241,512
7440000,0,-241,512
7450000,0,-241,512
7460000,0,-241,512
7470000,0,-241,512
7480000,0,-240,512
7490000,0,-240,512
7500000,0,-240,512
7510000,0,-240,512
7520000,0,-240,512
7530000,0,-240,512
7540000,0,-240,512
7550000,0,-240,512
7560000,0,-240,512
7570000,0,-240,512
7580000,0,-240,512
7590000,0,-240,512
7600000,0,-240,512
7610000,0,-240,512
7620000,0,-240,512
7630000,0,-240,512
7640000,0,-240,512
7650000,0,-240,512
7660000,0,-240,512
7670000,0,-240,512
7680000,0,-240,512
7690000,0,-240,512
7700000,0,-240,512
7710000,0,-240,512
7720000,0,-240,512
7730000,0,-240,512
7740000,0,-240,512
7750000,0,-240,512
7760000,0,-240,512
7770000,0,-240,512
7780000,0,-240,512
7790000,0,-240,512
7800000,0,-240,512
7810000,0,-240,512
7820000,0,-240,512
7830000,0,-240,512
7840000,0,-240,512
7850000,0,-240,512
7860000,0,-240,512
7870000,0,-240,512
7880000,0,-240,512
7890000,0,-240,512
7900000,0,-240,512
7910000,0,-240,512
7920000,0,-240,512
7930000,0,-240,512
7940000,0,-240,512
7950000,0,-241,512
7960000,0,-241,512
7970000,0,-241,512
7980000,0,-241,512
7990000,0,-241,512
