t_usec,height
0,24152
4000,24152
8000,24152
12000,24152
16000,24152
20000,24152
24000,24152
28000,24152
32000,24152
36000,24152
40000,24152
44000,24152
48000,24152
52000,24152
56000,24152
60000,24152
64000,24152
68000,24152
72000,24152
76000,24152
80000,24152
84000,24152
88000,24152
92000,24152
96000,24152
100000,24152
104000,24152
108000,24152
112000,24152
116000,24152
120000,24152
124000,24152
128000,24152
132000,24152
136000,24152
140000,24152
144000,24152
148000,24152
152000,24152
156000,24152
160000,24152
164000,24152
168000,24152
172000,24152
176000,24152
180000,24152
184000,24152
188000,24152
192000,24152
196000,24152
200000,24152
204000,24152
208000,24152
212000,24152
216000,24152
220000,24152
224000,24152
228000,24152
232000,24152
236000,24152
240000,24152
244000,24152
248000,24152
252000,24152
256000,24152
260000,24152
264000,24152
268000,24152
272000,24152
276000,24152
280000,24152
284000,24152
288000,24152
292000,24152
296000,24152
300000,24152
304000,24152
308000,24152
312000,24152
316000,24152
320000,24152
324000,24152
328000,24152
332000,24152
336000,24152
340000,24152
344000,24152
348000,24152
352000,24152
356000,24152
360000,24152
364000,24152
368000,24152
372000,24152
376000,24152
380000,24152
384000,24152
388000,24152
392000,24152
396000,24152
400000,24152
404000,24152
408000,24152
412000,24152
416000,24152
420000,24152
424000,24152
428000,24152
432000,24152
436000,24152
440000,24152
444000,24152
448000,24152
452000,24152
456000,24152
460000,24152
464000,24152
468000,24152
472000,24152
476000,24152
480000,24152
484000,24152
488000,24152
492000,24152
496000,24153
500000,24153
504000,24154
508000,24155
512000,24156
516000,24157
520000,24159
524000,24160
528000,24162
532000,24164
536000,24167
540000,24169
544000,24171
548000,24174
552000,24177
556000,24180
560000,24183
564000,24187
568000,24190
572000,24194
576000,24198
580000,24202
584000,24206
588000,24211
592000,24215
596000,24220
600000,24225
604000,24229
608000,24235
612000,24240
616000,24245
620000,24251
624000,24256
628000,24262
632000,24268
636000,24274
640000,24280
644000,24287
648000,24293
652000,24300
656000,24307
660000,24313
664000,24320
668000,24328
672000,24335
676000,24342
680000,24350
684000,24357
688000,24365
692000,24373
696000,24381
700000,24389
704000,24397
708000,24405
712000,24413
716000,24422
720000,24430
724000,24439
728000,24448
732000,24457
736000,24466
740000,24475
744000,24484
748000,24493
752000,24503
756000,24512
760000,24522
764000,24531
768000,24541
772000,24551
